Layer,Prior,Encoder,Iteration,Train_loss,Test_loss,Train_RE,Test_RE,Train_KL,Test_KL,Time,Weights,FID_score
conv,Flow6,NormalTrue,1,-79.8738,-79.2277,11.2163,11.5599,91.0901,90.7876,2.668254,10339,58.438433046607145
conv,Flow6,NormalTrue,2,-79.7866,-79.1093,11.3135,11.7063,91.1001,90.8156,2.6570679999999998,10339,59.4954709368192
conv,Flow6,NormalTrue,3,-79.6914,-79.3298,11.3994,11.4778,91.0908,90.8076,2.649798,10339,58.18103420283279
conv,Flow6,NormalTrue,4,-79.588,-79.127,11.5081,11.6916,91.096,90.8187,2.6441679999999996,10339,62.05889533679081
conv,Flow6,NormalTrue,5,-79.7947,-79.3343,11.2801,11.4856,91.0747,90.8199,2.6532500000000003,10339,57.57688534645388
conv,Flow6,RandomNetTrue,1,-76.5993,-75.7086,14.5884,15.2393,91.1876,90.9479,2.207538,10250,55.66340092265645
conv,Flow6,RandomNetTrue,2,-76.1732,-75.0053,15.0422,15.9139,91.2154,90.9192,2.207458,10250,57.572601243494006
conv,Flow6,RandomNetTrue,3,-70.7137,-69.3859,20.4269,21.446,91.1405,90.8319,2.217022,10250,56.902226856968156
conv,Flow6,RandomNetTrue,4,-76.3532,-75.6006,14.799,15.2784,91.1522,90.879,2.226902,10250,59.543335610437566
conv,Flow6,RandomNetTrue,5,-75.672,-74.769,15.5013,16.1167,91.1733,90.8857,2.20806,10250,58.707925488324975
conv,Flow6,RandomNetFalse,1,-65.709,-64.7634,26.0514,26.9707,91.7604,91.7341,2.1331249999999997,10196,70.90255744149351
conv,Flow6,RandomNetFalse,2,-67.6626,-66.8246,24.0592,24.8543,91.7218,91.6789,2.1295900000000003,10196,79.41247705444806
conv,Flow6,RandomNetFalse,3,-60.8819,-59.5092,28.6391,29.9615,89.521,89.4707,2.1284925,10196,84.3594151650752
conv,Flow6,RandomNetFalse,4,-64.7145,-62.9312,24.7438,26.376,89.4582,89.3072,2.14079,10196,74.22877319495592
conv,Flow6,RandomNetFalse,5,-61.2651,-58.9962,28.1934,30.3216,89.4584,89.3179,2.1246899999999997,10196,81.49642088449619
conv,Flow6,RKSFalse,1,-69.9711,-68.0339,18.9807,20.1001,88.9518,88.134,2.067004,10196,58.86227827833494
conv,Flow6,RKSFalse,2,-69.2555,-66.4684,19.6934,21.6615,88.9489,88.1299,2.066628,10196,68.3079627531886
conv,Flow6,RKSFalse,3,-71.314,-69.7516,17.3855,17.9488,88.6996,87.7004,2.070672,10196,68.53336065512775
conv,Flow6,RKSFalse,4,-69.7067,-67.7788,19.0698,20.0429,88.7765,87.8217,2.073364,10196,64.47828031049383
conv,Flow6,RKSFalse,5,-69.2862,-67.4882,19.6919,20.7287,88.9781,88.217,2.098216,10196,66.79691380007961
